Name,Description,Category,Source,License,URL
"Triangle","Minimal single triangle primitive","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/Triangle"
"TriangleWithoutIndices","Triangle without an index buffer","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/TriangleWithoutIndices"
"TwoSidedPlane","Two-sided plane for double-sided material testing","Primitive","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/TwoSidedPlane"
"WaterBottle","Transparent plastic water bottle demonstrating transmission","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/WaterBottle"
"AlphaBlendModeTest","Tests KHR_materials_alphaModes extension","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/AlphaBlendModeTest"
"BaseColorFactorTest","Tests base color factor material property","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BaseColorFactorTest"
"BaseColorTextureLinearityTest","Tests base color texture color space","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BaseColorTextureLinearityTest"
"BaseColorTextureTransformTest","Tests base color texture transform","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/BaseColorTextureTransformTest"
"EmissiveStrengthTest","Tests KHR_materials_emissive_strength extension","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/EmissiveStrengthTest"
"EnvironmentTest","Tests image-based lighting (IBL)","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/EnvironmentTest"
"MeshPrimitiveModes","Tests various primitive modes (triangles lines points)","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/MeshPrimitiveModes"
"MorphPrimitivesTest","Tests morph targets on primitive shapes","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/MorphPrimitivesTest"
"MorphStressTest","Stress test with many morph targets","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/MorphStressTest"
"MultiUVTest","Tests multiple UV coordinate sets","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/MultiUVTest"
"NegativeScaleTest","Tests negative scaling transformations","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/NegativeScaleTest"
"NormalTangentMirrorTest","Tests mirrored normal and tangent handling","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/NormalTangentMirrorTest"
"NormalTangentTest","Tests normal and tangent generation","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/NormalTangentTest"
"OrientationTest","Tests coordinate system orientation","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/OrientationTest"
"RecursiveSkeletons","Tests nested skeleton hierarchies","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/RecursiveSkeletons"
"SimpleInstancing","Tests GPU instancing extension","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/SimpleInstancing"
"SimpleMeshes","Tests multiple meshes in one scene","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/SimpleMeshes"
"SimpleMorph","Tests simple morph target animation","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/SimpleMorph"
"SimpleSkin","Tests basic skinned mesh","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/SimpleSkin"
"SimpleSparseAccessor","Tests sparse accessor feature","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/SimpleSparseAccessor"
"TextureCoordinateTest","Tests texture coordinate handling","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/TextureCoordinateTest"
"TextureEncodingTest","Tests sRGB vs linear texture encoding","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/TextureEncodingTest"
"TextureLinearInterpolationTest","Tests texture filtering modes","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/TextureLinearInterpolationTest"
"TextureSettingsTest","Tests texture wrap and filter settings","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/TextureSettingsTest"
"TextureTransformMultiTest","Tests multiple texture transforms","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/TextureTransformMultiTest"
"TextureTransformTest","Tests texture transform feature","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/TextureTransformTest"
"TransmissionTest","Tests KHR_materials_transmission extension","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/TransmissionTest"
"UnlitTest","Tests unlit (non-PBR) materials","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/UnlitTest"
"VC","Tests vertex color rendering","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/VC"
"VertexColorTest","Tests vertex color attribute","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/VertexColorTest"
"NoSubscription","Horseshoe magnet sculpture","PBR Showcase","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/NoSubscription"
"UnicodeTest","Tests Unicode handling in glTF JSON","Test","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/UnicodeTest"
"AnimatedCube","Simple animated cube","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/AnimatedCube"
"AnimatedMorphCube","Cube with morph target animation","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/AnimatedMorphCube"
"AnimatedMorphSphere","Sphere with morph target animation","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/AnimatedMorphSphere"
"AnimatedTriangle","Animated triangle with keyframes","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/AnimatedTriangle"
"RiggedFigure","Simple humanoid figure for skinning tests","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/RiggedFigure"
"RiggedSimple","Simpler rigged mesh for skinning tests","Animation","Khronos glTF-Sample-Models","CC0","https://github.com/KhronosGroup/glTF-Sample-Models/tree/main/2.0/RiggedSimple"
"All In One File","Mega bundle containing many Quaternius assets combined","Bundle","Quaternius","CC0","https://quaternius.com/"
"Downtown City MegaKit","Large modular city building kit for urban environments","Environment","Quaternius","CC0","https://quaternius.com/"
"Universal Animation Library 2","Second edition of universal animation library for any rigged character","Animation","Quaternius","CC0","https://quaternius.com/"
"Modular Character Outfits - Fantasy","Modular fantasy character outfits and equipment","Characters","Quaternius","CC0","https://quaternius.com/"
"Universal Base Characters","Base character models (male female) for customization","Characters","Quaternius","CC0","https://quaternius.com/"
"Fantasy Props MegaKit","Large collection of fantasy-themed props and items","Props","Quaternius","CC0","https://quaternius.com/"
"Universal Animation Library","Universal animation library for any rigged character","Animation","Quaternius","CC0","https://quaternius.com/"
"Medieval Village MegaKit","Mega kit for building medieval village environments","Environment","Quaternius","CC0","https://quaternius.com/"
"Sci-Fi Essentials Kit","Essential sci-fi props and items kit","Props","Quaternius","CC0","https://quaternius.com/"
"Modular Sci-Fi Megakit","Modular kit for sci-fi environment construction","Environment","Quaternius","CC0","https://quaternius.com/"
"Stylized Nature MegaKit","Mega kit with stylized trees rocks and natural elements","Environment","Quaternius","CC0","https://quaternius.com/"
"3D Card Kit - Fantasy","Fantasy-themed 3D card game assets","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Zombie Apocalypse Kit","Zombie and post-apocalyptic themed assets","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Pirate Kit","Pirate-themed assets and characters","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Cube World Kit","Voxel/cube-style world building assets","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Sushi Restaurant Kit","Sushi restaurant interior and food assets","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Ultimate Space Kit","Space-themed assets including planets ships and equipment","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Toon Shooter Game Kit","Stylized shooter game assets","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Ultimate Monsters","Large collection of monster characters","Characters","Quaternius","CC0","https://quaternius.com/"
"Ultimate Fantasy RTS","Assets for real-time strategy fantasy games","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Cyberpunk Game Kit","Cyberpunk themed game assets","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Ultimate Stylized Nature Pack","Stylized nature elements pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Ultimate Modular Women Pack","Modular women character customization pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Ultimate Modular Men Pack","Modular men character customization pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Platformer Game Kit","Assets for 2.5D/3D platformer games","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Sci-Fi Modular Gun Pack","Modular sci-fi weapon pack","Weapons","Quaternius","CC0","https://quaternius.com/"
"Ultimate Modular Ruins Pack","Modular ancient ruins environment pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Ultimate Animated Animal Pack","Large pack of animated animal characters","Characters","Quaternius","CC0","https://quaternius.com/"
"Ultimate Spaceships Pack","Large spaceship model pack","Vehicles","Quaternius","CC0","https://quaternius.com/"
"Animated Mech Pack","Animated mech robot characters","Characters","Quaternius","CC0","https://quaternius.com/"
"Ultimate Modular Sci-Fi Pack","Modular sci-fi environment pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Medieval Village Pack","Medieval village themed assets","Game Assets","Quaternius","CC0","https://quaternius.com/"
"RPG Character Pack","RPG-themed character assets","Characters","Quaternius","CC0","https://quaternius.com/"
"Survival Pack","Survival game themed assets","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Cute Animated Monsters Pack","Cute stylized monster characters","Characters","Quaternius","CC0","https://quaternius.com/"
"Ultimate House Interior Pack","House interior furniture and decor pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Stylized Tree Pack","Stylized tree models pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Steampunk Turret Pack","Steampunk themed turrets and defenses","Weapons","Quaternius","CC0","https://quaternius.com/"
"Animated Cute Fish Pack","Animated cute stylized fish characters","Characters","Quaternius","CC0","https://quaternius.com/"
"Ultimate Crops Pack","Farm crop plants pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Ultimate Buildings Pack","Large building construction pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Ultimate Animated Character Pack","Large animated character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Ultimate Food Pack","Food and kitchen item models pack","Props","Quaternius","CC0","https://quaternius.com/"
"Ultimate RPG Pack","Large RPG game asset pack","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Ultimate Guns Pack","Large weapon and firearm pack","Weapons","Quaternius","CC0","https://quaternius.com/"
"Ultimate Nature Pack","Large nature environment pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Animated Tanks Pack","Animated tank vehicles pack","Vehicles","Quaternius","CC0","https://quaternius.com/"
"Modular Dungeons Pack","Modular dungeon environment pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Modular Train Pack","Modular train vehicle pack","Vehicles","Quaternius","CC0","https://quaternius.com/"
"Animated Alien Pack","Animated alien character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Ultimate Furniture Pack","Large furniture model pack","Props","Quaternius","CC0","https://quaternius.com/"
"Animated Women Pack","Animated women character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Animated Men Pack","Animated men character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Easy Enemy Pack","Simple enemy character pack for games","Characters","Quaternius","CC0","https://quaternius.com/"
"Buildings Pack","Building model pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Animated Dinosaur Pack","Animated dinosaur character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Cars Pack","Car vehicle model pack","Vehicles","Quaternius","CC0","https://quaternius.com/"
"Modular Platformer Pack","Modular platformer game asset pack","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Animated Robot Pack","Animated robot character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Farm Buildings Pack","Farm themed building pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Modular Weapons Pack","Modular weapon and tool pack","Weapons","Quaternius","CC0","https://quaternius.com/"
"Background Posed Humans Pack","Posed human character pack for background scenes","Characters","Quaternius","CC0","https://quaternius.com/"
"Animated Monster Pack","Animated monster character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Animated Knight Pack","Animated knight character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Farm Animal Pack","Farm animal model pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Animated Guns Pack","Animated weapon and gun pack","Weapons","Quaternius","CC0","https://quaternius.com/"
"Sci-Fi Gun Pack","Sci-fi themed weapon pack","Weapons","Quaternius","CC0","https://quaternius.com/"
"Animated Fish Pack","Animated fish character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Modular Streets Pack","Modular street and road pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Ships Pack","Ship vehicle model pack","Vehicles","Quaternius","CC0","https://quaternius.com/"
"Modular Dungeon Pack","Modular dungeon environment pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Spaceships Pack","Spaceship model pack","Vehicles","Quaternius","CC0","https://quaternius.com/"
"Animated Zombie Pack","Animated zombie character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Animated Woman Pack","Animated single woman character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Animated Man Pack","Animated single man character pack","Characters","Quaternius","CC0","https://quaternius.com/"
"Furniture Pack","Furniture model pack","Props","Quaternius","CC0","https://quaternius.com/"
"Simple Buildings Pack","Simple building model pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Modular Medieval Building Pack","Modular medieval building pack","Environment","Quaternius","CC0","https://quaternius.com/"
"RPG Essentials Pack","Essential RPG game asset pack","Game Assets","Quaternius","CC0","https://quaternius.com/"
"Junk Food Pack","Junk food and snack model pack","Props","Quaternius","CC0","https://quaternius.com/"
"Texture Fantasy Nature Pack","Fantasy nature themed texture pack","Textures","Quaternius","CC0","https://quaternius.com/"
"Public Transport Pack","Public transport vehicle pack","Vehicles","Quaternius","CC0","https://quaternius.com/"
"Simple Nature Pack","Simple nature model pack","Environment","Quaternius","CC0","https://quaternius.com/"
"Factory Kit","Low-poly factory buildings and machinery","Environment","Kenney","CC0","https://kenney.nl/assets/factory-kit"
"Car Kit","Low-poly stylized car pack","Vehicles","Kenney","CC0","https://kenney.nl/assets/car-kit"
"Platformer Kit","Platformer game assets including blocks enemies and items","Game Assets","Kenney","CC0","https://kenney.nl/assets/platformer-kit"
"Cube Pets","Cute cube-style pet characters","Characters","Kenney","CC0","https://kenney.nl/assets/cube-pets"
"Modular Dungeon Kit","Modular dungeon environment kit","Environment","Kenney","CC0","https://kenney.nl/assets/modular-dungeon-kit"
"Pirate Kit","Pirate themed game assets","Game Assets","Kenney","CC0","https://kenney.nl/assets/pirate-kit"
"Mini Dungeon","Mini-sized dungeon environment kit","Environment","Kenney","CC0","https://kenney.nl/assets/mini-dungeon"
"Modular Space Kit","Modular space station/ship kit","Environment","Kenney","CC0","https://kenney.nl/assets/modular-space-kit"
"Graveyard Kit","Graveyard themed environment assets","Environment","Kenney","CC0","https://kenney.nl/assets/graveyard-kit"
"Airplane Kit","Low-poly airplane pack","Vehicles","Kenney","CC0","https://kenney.nl/assets/airplane-kit"
"Animal Pack","Animal character pack","Characters","Kenney","CC0","https://kenney.nl/assets/animal-pack"
"Blocky Characters","Block-style character pack","Characters","Kenney","CC0","https://kenney.nl/assets/blocky-characters"
"Board Game Kit","Board game themed assets","Game Assets","Kenney","CC0","https://kenney.nl/assets/board-game-kit"
"City Kit (Commercial / Town)","City building and town environment kit","Environment","Kenney","CC0","https://kenney.nl/assets/city-kit"
"Construction Kit","Construction themed assets and equipment","Game Assets","Kenney","CC0","https://kenney.nl/assets/construction-kit"
"Defense Kit","Defense and turret assets","Game Assets","Kenney","CC0","https://kenney.nl/assets/defense-kit"
"Farm Kit","Farm themed environment assets","Environment","Kenney","CC0","https://kenney.nl/assets/farm-kit"
"Fighter Jets","Fighter jet aircraft pack","Vehicles","Kenney","CC0","https://kenney.nl/assets/fighter-jets"
"Furniture Kit","Furniture model pack","Props","Kenney","CC0","https://kenney.nl/assets/furniture-kit"
"Hexagon Kit","Hexagon tile-based game assets","Game Assets","Kenney","CC0","https://kenney.nl/assets/hexagon-kit"
"Isometric Rooms","Isometric room environment assets","Environment","Kenney","CC0","https://kenney.nl/assets/isometric-rooms"
"Mini Battles","Mini-sized battle game assets","Game Assets","Kenney","CC0","https://kenney.nl/assets/mini-battles"
"Mini Cars","Mini-sized car vehicles","Vehicles","Kenney","CC0","https://kenney.nl/assets/mini-cars"
"Mini Characters","Mini-sized character pack","Characters","Kenney","CC0","https://kenney.nl/assets/mini-characters"
"Mini Enemies","Mini-sized enemy characters","Characters","Kenney","CC0","https://kenney.nl/assets/mini-enemies"
"Mini Golf Kit","Mini golf course assets","Game Assets","Kenney","CC0","https://kenney.nl/assets/mini-golf-kit"
"Mini Guns","Mini-sized weapon pack","Weapons","Kenney","CC0","https://kenney.nl/assets/mini-guns"
"Mini Market","Mini market stall assets","Environment","Kenney","CC0","https://kenney.nl/assets/mini-market"
"Mini Monsters","Mini-sized monster characters","Characters","Kenney","CC0","https://kenney.nl/assets/mini-monsters"
"Mini Ninja","Mini-sized ninja characters","Characters","Kenney","CC0","https://kenney.nl/assets/mini-ninja"
"Mini Office","Mini office environment assets","Environment","Kenney","CC0","https://kenney.nl/assets/mini-office"
"Mini People","Mini-sized people characters","Characters","Kenney","CC0","https://kenney.nl/assets/mini-people"
"Mini Racing","Mini-sized racing game assets","Game Assets","Kenney","CC0","https://kenney.nl/assets/mini-racing"
"Mini Sports","Mini-sized sports game assets","Game Assets","Kenney","CC0","https://kenney.nl/assets/mini-sports"
"Mini Tanks","Mini-sized tank vehicles","Vehicles","Kenney","CC0","https://kenney.nl/assets/mini-tanks"
"Mini Town","Mini-sized town environment","Environment","Kenney","CC0","https://kenney.nl/assets/mini-town"
"Mini UFOs","Mini-sized UFO vehicles","Vehicles","Kenney","CC0","https://kenney.nl/assets/mini-ufos"
"Mini Vehicles","Mini-sized vehicle pack","Vehicles","Kenney","CC0","https://kenney.nl/assets/mini-vehicles"
"Mini Warships","Mini-sized warship vehicles","Vehicles","Kenney","CC0","https://kenney.nl/assets/mini-warships"
"Mini Western","Mini-sized western themed assets","Game Assets","Kenney","CC0","https://kenney.nl/assets/mini-western"
